Time (s),RMS
1192.0,0.10294017
1193.0,0.042919356
1194.0,0.027983544
1195.0,0.027809195
1196.0,0.029635234
1197.0,0.025695836
1198.0,0.05438883
1199.0,0.06884201
1200.0,0.03920239
1201.0,0.058721226
1202.0,0.07560184
1203.0,0.022980776
1204.0,0.009190309
1205.0,0.10767919
1206.0,0.053591788
1207.0,0.036192484
1208.0,0.02723405
1209.0,0.032806654
1210.0,0.08231991
1211.0,0.06292832
1212.0,0.10397263
1213.0,0.051488318
1214.0,0.06661648
1215.0,0.026747
1216.0,0.022139793
1217.0,0.05953213
1218.0,0.026105365
1219.0,0.07638102
1220.0,0.035357058
1221.0,0.0857291
1222.0,0.0972134
1223.0,0.050154984
1224.0,0.056291137
1225.0,0.06640289
1226.0,0.030421693
1227.0,0.07675594
1228.0,0.083496
1229.0,0.084429815
1230.0,0.06853451
1231.0,0.025192814
1232.0,0.08887138
1233.0,0.06468669
1234.0,0.086301446
1235.0,0.058198757
1236.0,0.057863377
1237.0,0.0420505
1238.0,0.0747085
1239.0,0.074663274
1240.0,0.0422453
1241.0,0.028439797
1242.0,0.041526094
1243.0,0.03037389
1244.0,0.059615385
1245.0,0.07959508
1246.0,0.07587719
1247.0,0.0358397
1248.0,0.13985983
1249.0,0.10408618
1250.0,0.08014954
1251.0,0.09429793
1252.0,0.09307301
1253.0,0.07508873
1254.0,0.09305433
1255.0,0.06155301
1256.0,0.1414227
1257.0,0.08994255
1258.0,0.08141263
1259.0,0.030206786
1260.0,0.04451557
1261.0,0.059364736
1262.0,0.02905931
1263.0,0.044055264
1264.0,0.026889855
1265.0,0.018851295
1266.0,0.030939298
1267.0,0.066743456
1268.0,0.05901135
1269.0,0.053913593
1270.0,0.054981817
1271.0,0.046616685
1272.0,0.035251427
1273.0,0.017977938
1274.0,0.0015781989
1275.0,0.033660136
1276.0,0.079999804
1277.0,0.08606216
1278.0,0.06963425
1279.0,0.07364348
1280.0,0.06671124
1281.0,0.072528385
1282.0,0.07575947
1283.0,0.07638073
1284.0,0.06889342
1285.0,0.078615755
1286.0,0.0791058
1287.0,0.071757354
1288.0,0.050670788
1289.0,0.048503794
1290.0,0.057272322
1291.0,0.06151425
1292.0,0.059607834
1293.0,0.05244564
1294.0,0.05461127
1295.0,0.060876206
1296.0,0.05862753
1297.0,0.059366807
1298.0,0.06039873
1299.0,0.061904233
1300.0,0.06574241
1301.0,0.06809161
1302.0,0.06318798
1303.0,0.061645344
1304.0,0.06092076
1305.0,0.058904137
1306.0,0.05337412
1307.0,0.06756299
1308.0,0.07779415
1309.0,0.06438574
1310.0,0.065535225
1311.0,0.06376748
1312.0,0.06662735
1313.0,0.061591703
1314.0,0.07387829
1315.0,0.07092565
1316.0,0.081617184
1317.0,0.083173245
1318.0,0.0763316
1319.0,0.07516105
1320.0,0.075409696
1321.0,0.069508396
1322.0,0.063660234
1323.0,0.068395995
1324.0,0.059256718
1325.0,0.0757385
1326.0,0.06696659
1327.0,0.06779652
1328.0,0.06730319
1329.0,0.06862542
1330.0,0.075572826
1331.0,0.058550466
1332.0,0.07279996
1333.0,0.07235386
1334.0,0.08029049
1335.0,0.06767288
1336.0,0.089902535
1337.0,0.074491374
1338.0,0.07699651
1339.0,0.06566957
1340.0,0.06853475
1341.0,0.06461812
1342.0,0.060660303
1343.0,0.07353059
